                         tmax  tmin    af   rain    sun   asml        lat      long           gridRef
station         yyyy mm                                                                              
aberporth       1941 1    NaN   NaN   NaN   74.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     12   9.1   5.6   NaN  130.2   35.7  133.0  52.139000 -4.570000   224100E 252100N
                1956 1    7.1   3.6   NaN  102.0   52.3  133.0  52.139000 -4.570000   224100E 252100N
                     2    3.4   1.8   NaN   18.9  113.4  133.0  52.139000 -4.570000   224100E 252100N
                     3   10.6   3.9   NaN   33.4  189.4  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.6   3.8   NaN   24.2  179.9  133.0  52.139000 -4.570000   224100E 252100N
                     5   14.5   7.7   NaN   25.7  262.5  133.0  52.139000 -4.570000   224100E 252100N
                     6   15.0   9.3   NaN   56.6  216.8  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.6  12.0   NaN   82.8  193.8  133.0  52.139000 -4.570000   224100E 252100N
                     8   15.7  10.7   NaN  103.2  181.7  133.0  52.139000 -4.570000   224100E 252100N
                     9   16.9  11.9   NaN  107.8   93.4  133.0  52.139000 -4.570000   224100E 252100N
                     10  12.7   8.2   NaN   42.8  113.4  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.1   6.0   NaN   66.0   48.8  133.0  52.139000 -4.570000   224100E 252100N
                     12   8.5   5.4   NaN  114.6   33.8  133.0  52.139000 -4.570000   224100E 252100N
                1957 1    8.6   3.9   2.0   80.6   55.6  133.0  52.139000 -4.570000   224100E 252100N
                     2    8.5   3.2   2.0   85.1  105.2  133.0  52.139000 -4.570000   224100E 252100N
                     3   12.2   7.4   0.0   83.1   98.3  133.0  52.139000 -4.570000   224100E 252100N
                     4   11.3   6.2   0.0    7.4  181.1  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.6   7.4   0.0   54.1  268.7  133.0  52.139000 -4.570000   224100E 252100N
                     6   18.2  10.6   0.0   48.5  327.0  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.7  12.7   0.0  123.2  142.8  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.7  12.5   0.0   52.3  153.4  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.3  11.1   0.0  187.7  108.3  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.8   9.3   0.0  101.2   77.4  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.2   5.1   1.0   59.0   63.0  133.0  52.139000 -4.570000   224100E 252100N
                     12   8.4   3.3   3.0   76.5   66.7  133.0  52.139000 -4.570000   224100E 252100N
                1958 1    7.7   3.2   7.0  100.2   50.9  133.0  52.139000 -4.570000   224100E 252100N
                     2    8.4   3.7   2.0  100.7   57.3  133.0  52.139000 -4.570000   224100E 252100N
                     3    7.6   1.7   8.0   21.1  128.8  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.6   4.6   4.0   17.8  169.0  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.4   7.8   0.0   95.3  190.8  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.0  10.0   0.0   86.9  203.3  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.1  11.7   0.0  113.7  161.5  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.2  12.7   0.0  108.0  122.2  133.0  52.139000 -4.570000   224100E 252100N
                     9   17.6  12.1   0.0  184.5  141.5  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.1   9.0   0.0   94.5   80.5  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.4   5.8   0.0   73.6   52.9  133.0  52.139000 -4.570000   224100E 252100N
                     12   8.3   3.8   1.0   82.8   47.1  133.0  52.139000 -4.570000   224100E 252100N
                1959 1    6.4   2.1   5.0  118.0   72.1  133.0  52.139000 -4.570000   224100E 252100N
                     2    8.8   2.9   6.0   10.8   94.5  133.0  52.139000 -4.570000   224100E 252100N
                     3   10.1   5.2   0.0   94.1  113.1  133.0  52.139000 -4.570000   224100E 252100N
                     4   11.5   6.4   0.0   84.0  155.6  133.0  52.139000 -4.570000   224100E 252100N
                     5   15.5   8.9   0.0   46.2  255.1  133.0  52.139000 -4.570000   224100E 252100N
                     6   17.3  10.9   0.0   34.9  284.4  133.0  52.139000 -4.570000   224100E 252100N
                     7   19.1  12.7   0.0   55.5  243.8  133.0  52.139000 -4.570000   224100E 252100N
                     8   19.1  13.0   0.0   17.2  214.7  133.0  52.139000 -4.570000   224100E 252100N
                     9   19.6  11.5   0.0    8.9  217.4  133.0  52.139000 -4.570000   224100E 252100N
                     10  16.2  10.8   0.0  157.4  114.1  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.5   6.6   0.0  229.9   46.9  133.0  52.139000 -4.570000   224100E 252100N
                     12   9.1   4.9   0.0  148.9   35.4  133.0  52.139000 -4.570000   224100E 252100N
                1960 1    7.9   3.4   4.0  131.0   58.7  133.0  52.139000 -4.570000   224100E 252100N
                     2    7.1   2.3   5.0  112.5   75.5  133.0  52.139000 -4.570000   224100E 252100N
                     3   10.0   4.2   0.0   58.3  110.8  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.9   5.6   0.0   92.1  187.7  133.0  52.139000 -4.570000   224100E 252100N
                     5   15.5   9.2   0.0   46.9  199.2  133.0  52.139000 -4.570000   224100E 252100N
                     6   18.0  11.6   0.0   43.4  245.7  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.0  11.9   0.0   89.4  165.0  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.0  12.0   0.0   98.5  169.9  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.7  10.6   0.0  138.4  135.2  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.0   8.4   0.0  150.8   73.9  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.3   5.8   0.0  204.7   49.3  133.0  52.139000 -4.570000   224100E 252100N
                     12   7.3   2.8   6.0  126.1   66.7  133.0  52.139000 -4.570000   224100E 252100N
                1961 1    7.2   2.3   7.0  117.5   37.5  133.0  52.139000 -4.570000   224100E 252100N
                     2    9.5   5.6   0.0   72.2   51.9  133.0  52.139000 -4.570000   224100E 252100N
                     3   11.0   5.7   0.0   14.6  118.3  133.0  52.139000 -4.570000   224100E 252100N
                     4   12.4   6.7   0.0  120.1  123.1  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.8   7.7   0.0   40.0  244.5  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.7  10.2   0.0   33.2  230.3  133.0  52.139000 -4.570000   224100E 252100N
                     7   16.9  11.6   0.0   50.3  185.8  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.6  12.1   0.0  100.1  170.2  133.0  52.139000 -4.570000   224100E 252100N
                     9   17.7  11.9   0.0  112.9  136.6  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.4   8.5   0.0  173.8   83.3  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.5   5.1   0.0   63.5   59.6  133.0  52.139000 -4.570000   224100E 252100N
                     12   6.5   1.7  15.0   73.2   87.8  133.0  52.139000 -4.570000   224100E 252100N
                1962 1    7.8   2.8   4.0  113.3   59.5  133.0  52.139000 -4.570000   224100E 252100N
                     2    7.4   3.2   5.0   28.9   58.3  133.0  52.139000 -4.570000   224100E 252100N
